"2022/11/01¡@Short Sales Volume and Value"
,"Margin Short Sales",,"SBL Short Sales",,
"Security Code","Trading Volume","Trading Value","Trading Volume","Trading Value",
"3686","0","0","0","0",
"3694","0","0","15","299,950",
"3701","13","450,850","15","522,300",
"3702","1","44,100","366","16,117,450",
"3703","2","55,850","0","0",
"3704","0","0","75","1,948,150",
"3705","0","0","0","0",
"3706","2","54,500","48","1,307,950",
"3708","17","1,559,500","0","0",
"3711","33","2,640,300","220","17,617,800",
"3712","1","23,550","2","47,000",
"3714","21","866,800","169","6,969,500",
"3715","0","0","83","1,370,800",
"4104","0","0","0","0",
"4106","0","0","0","0",
"4108","0","0","0","0",
"4119","0","0","0","0",
"4133","2","68,900","2","68,800",
"4137","0","0","3","444,000",
"4142","0","0","1","33,300",
"4148","4","219,200","0","0",
"4155","1","22,700","0","0",
"4164","0","0","0","0",
"4190","1","72,200","0","0",
"4306","0","0","1","13,050",
"4426","0","0","0","0",
"4438","8","1,007,500","18","2,292,500",
"4439","0","0","0","0",
"4440","0","0","0","0",
"4526","0","0","0","0",
"4532","0","0","8","127,200",
"4536","1","173,000","4","692,500",
"4540","0","0","0","0",
"4545","0","0","0","0",
"4551","2","300,500","18","2,685,500",
"4552","0","0","0","0",
"4555","0","0","0","0",
"4557","0","0","0","0",
"4560","0","0","0","0",
"4562","0","0","0","0",
"4564","3","71,250","4","94,800",
"4566","47","2,424,800","9","463,000",
"4571","0","0","1","69,000",
"4572","0","0","1","109,500",
"4576","0","0","1","65,500",
"4581","0","0","0","0",
"4583","0","0","0","0",
"4720","0","0","0","0",
"4722","0","0","0","0",
"4737","0","0","0","0",
"4739","24","2,123,600","2","176,400",
"4746","1","48,950","2","97,650",
"4755","11","1,185,500","18","1,929,000",
"4763","7","803,500","26","2,983,500",
"4764","0","0","0","0",
"4766","0","0","0","0",
"4770","0","0","0","0",
"4807","0","0","0","0",
"4904","0","0","103","7,360,200",
"4906","0","0","7","184,800",
"4912","0","0","0","0",
"4915","29","1,547,800","60","3,209,000",
"4916","0","0","0","0",
